filename,file_size,file_attributes,region_count,region_id,region_shape_attributes,region_attributes
2192144838.png,836335,"{}",1,0,"{""name"":""polyline"",""all_points_x"":[210,268,309,376,422,434,463,492,505,496,508,519,506,487,506,495,484,477,462,422,407,378,334,229,160,106,90,98,120,211],""all_points_y"":[285,270,283,278,294,333,329,351,358,373,385,394,438,442,457,477,485,499,497,547,520,518,505,519,492,444,394,361,334,283]}","{""outside"":"""","""":""""}"
2199175418.png,984826,"{}",1,0,"{""name"":""polyline"",""all_points_x"":[53,99,104,120,111,130,139,263,305,305,329,364,397,413,415,433,428,424,428,443,458,451,454,443,438,445,442,453,462,459,468,442,432,407,353,330,321,253,267,228,206,170,56],""all_points_y"":[183,345,383,434,459,542,558,567,492,564,573,558,557,552,530,501,481,467,462,462,401,388,366,370,351,339,325,304,289,277,233,195,230,232,202,176,194,166,201,209,175,165,181]}","{""outside"":"""","""":""""}"
21510123832.png,442986,"{}",1,0,"{""name"":""polyline"",""all_points_x"":[145,230,256,308,386,406,417,423,404,402,378,346,333,321,312,284,277,253,242,208,189,173,99,91,100,104,98,101,122,127,122,124,137,138,149],""all_points_y"":[182,174,188,178,173,186,300,313,325,345,359,365,387,386,366,376,384,395,398,452,459,461,445,425,406,397,389,376,361,352,334,305,295,178,178]}","{""outside"":"""","""":""""}"
21510141248.png,443594,"{}",1,0,"{""name"":""polyline"",""all_points_x"":[119,165,203,243,277,303,317,383,391,448,464,494,499,483,455,424,385,348,305,263,227,187,176,180,191,191,181,152,99,89,88,84,106,106,105,121,119],""all_points_y"":[141,132,136,155,175,190,206,197,192,232,244,241,266,304,326,349,375,385,389,388,369,350,349,361,373,379,387,391,368,353,332,327,305,252,207,193,141]}","{""outside"":"""","""":""""}"
21510144347.png,481598,"{}",1,0,"{""name"":""polyline"",""all_points_x"":[47,82,77,118,132,170,186,191,226,230,254,276,332,392,422,437,478,489,430,465,466,443,415,413,366,382,381,346,314,305,293,279,271,228,178,176,160,138,134,105,89,75,54,15,10,24,40,46],""all_points_y"":[243,221,202,181,205,189,169,159,157,189,211,227,236,247,229,226,248,260,306,301,313,330,339,325,362,377,383,384,372,349,349,357,377,401,390,400,401,395,401,406,415,424,425,375,337,316,285,242]}","{""outside"":"""","""":""""}"
21511115642.png,384636,"{}",1,0,"{""name"":""polyline"",""all_points_x"":[35,74,95,126,144,230,312,320,329,393,406,437,429,409,422,416,392,347,330,305,262,208,184,159,122,110,81,33,41,34],""all_points_y"":[245,237,207,200,171,183,215,196,215,256,249,267,284,290,365,383,421,401,409,398,401,405,401,392,345,370,389,387,345,245]}","{""outside"":"""","""":""""}"
21511123351.png,390103,"{}",1,0,"{""name"":""polyline"",""all_points_x"":[62,83,76,94,115,148,159,171,175,162,182,194,194,218,247,275,298,306,339,358,406,406,416,403,406,422,412,353,337,316,304,294,286,250,238,198,178,155,143,72,54,37,38,46,55,62],""all_points_y"":[217,196,130,173,207,202,166,149,134,113,112,117,137,129,129,138,153,170,144,133,124,145,170,201,225,317,344,361,337,341,325,327,344,352,369,381,377,358,380,401,390,353,306,272,243,216]}","{""outside"":"""","""":""""}"
21511153255.png,511599,"{}",1,0,"{""name"":""polyline"",""all_points_x"":[118,111,106,154,178,205,259,369,397,418,430,438,438,482,479,457,459,444,440,406,377,362,304,297,275,270,251,214,205,166,138,100,122,123,120],""all_points_y"":[297,265,247,248,219,211,213,251,237,240,218,209,197,206,233,223,272,313,400,413,428,446,465,449,450,457,441,447,452,447,441,372,366,347,294]}","{""outside"":"""","""":""""}"
21512115051.png,366042,"{}",1,0,"{""name"":""polyline"",""all_points_x"":[102,178,270,329,385,439,444,443,370,289,215,174,127,115,99],""all_points_y"":[317,297,287,284,285,304,364,369,353,358,372,380,389,393,316]}","{""outside"":"""","""":""""}"
21513115828.png,412532,"{}",1,0,"{""name"":""polyline"",""all_points_x"":[144,185,354,318,132,145],""all_points_y"":[380,213,258,443,417,379]}","{""outside"":"""","""":""""}"
21513171327.png,542229,"{}",1,0,"{""name"":""polyline"",""all_points_x"":[227,214,217,215,227,223,219,237,240,238,247,302,307,283,262,272,264,263,285,279,225],""all_points_y"":[5,132,244,259,284,310,330,369,383,398,507,509,414,375,277,196,164,133,69,3,5]}","{""outside"":"""","""":""""}"
21514112630.png,406350,"{}",1,0,"{""name"":""polyline"",""all_points_x"":[81,122,139,165,271,280,292,344,356,400,466,491,508,334,252,244,276,213,158,107,71,82],""all_points_y"":[24,54,101,126,245,279,287,335,319,317,403,415,489,490,481,389,350,279,194,155,73,20]}","{""outside"":"""","""":""""}"
21519135530.png,543465,"{}",1,0,"{""name"":""polyline"",""all_points_x"":[118,150,170,182,285,330,364,410,450,478,419,338,241,186,166,130,74,22,14,24,41,59,82,120],""all_points_y"":[89,37,17,2,1,37,93,201,289,378,406,406,432,464,461,477,491,476,440,359,271,209,118,85]}","{""outside"":"""","""":""""}"
21519154014.png,519751,"{}",1,0,"{""name"":""polyline"",""all_points_x"":[215,291,338,355,350,327,276,200,147,134,150,164,173,198,216],""all_points_y"":[220,234,278,343,365,413,434,418,349,289,275,265,222,213,219]}","{""outside"":"""","""":""""}"
21520153933.png,558058,"{}",1,0,"{""name"":""polyline"",""all_points_x"":[172,242,282,282,368,378,374,403,406,440,430,370,333,278,270,240,74,100,103,150,173],""all_points_y"":[237,177,142,128,157,152,217,197,329,348,404,421,425,408,429,437,454,401,339,306,237]}","{""outside"":"""","""":""""}"
21611141535.png,659593,"{}",3,0,"{""name"":""polyline"",""all_points_x"":[194,207,273,330,385,445,475,479,482,461,431,393,330,292,248,242,194,177,152,146,198],""all_points_y"":[153,177,177,194,209,232,256,315,357,404,425,437,411,362,309,302,271,225,205,177,153]}","{""outside"":"""","""":""""}"
21611141535.png,659593,"{}",3,1,"{""name"":""polyline"",""all_points_x"":[305,313,337,347,379,431,505,551,595,598,577,537,514,303],""all_points_y"":[1,21,49,103,145,173,194,181,131,106,68,21,5,0]}","{""outside"":"""","""":""""}"
21611141535.png,659593,"{}",3,2,"{""name"":""polyline"",""all_points_x"":[206,212,243,291,342,390,408,406,390,246,266,288,274,274,258,238,217,208],""all_points_y"":[525,483,457,449,445,461,496,559,598,601,587,580,561,528,524,538,531,522]}","{""outside"":"""","""":""""}"
21716134126.png,412759,"{}",1,0,"{""name"":""polyline"",""all_points_x"":[308,294,283,286,308,332,366,372,343,338,340,362,380,390,388,364,359,350,361,327,319,288,310],""all_points_y"":[173,213,209,294,317,299,303,293,245,239,213,218,205,163,133,125,133,118,117,97,120,138,180]}","{""outside"":"""","""":""""}"
21913163847.png,1003471,"{}",1,0,"{""name"":""polyline"",""all_points_x"":[141,166,163,188,192,231,317,333,392,406,403,406,401,398,252,162,171,171,179,160,140,135,141,131,130,135,141],""all_points_y"":[275,204,173,183,149,143,103,82,82,396,538,643,715,737,733,735,696,656,624,572,564,518,509,438,425,401,275]}","{""outside"":"""","""":""""}"
21922122751.png,911278,"{}",1,0,"{""name"":""polyline"",""all_points_x"":[32,78,109,105,189,228,261,388,401,447,549,582,625,575,552,518,528,530,491,453,371,321,294,244,220,181,166,210,178,172,130,110,82,30],""all_points_y"":[381,340,342,349,295,266,263,206,191,195,154,209,247,285,283,286,325,366,445,499,591,671,685,664,667,637,588,540,526,521,516,504,515,380]}","{""outside"":"""","""":""""}"
21923113011.png,937956,"{}",1,0,"{""name"":""polyline"",""all_points_x"":[311,266,248,252,218,230,204,213,211,206,209,227,234,233,264,563,576,587,534,524,528,505,444,413,309],""all_points_y"":[92,262,295,315,348,363,430,445,509,548,568,661,654,715,734,682,659,620,487,443,386,249,168,114,90]}","{""outside"":"""","""":""""}"
21924111029.png,1035633,"{}",1,0,"{""name"":""polyline"",""all_points_x"":[219,230,249,273,262,296,316,332,344,353,361,426,462,473,477,499,531,552,558,554,510,481,435,385,370,356,354,353,321,311,272,258,230,181,175,186,195,208,220],""all_points_y"":[401,371,362,304,273,230,138,123,95,70,46,72,80,86,148,214,280,338,392,442,511,523,543,556,614,644,697,731,745,740,777,757,766,767,759,604,516,449,396]}","{""outside"":"""","""":""""}"
21924134929.png,1017124,"{}",1,0,"{""name"":""polyline"",""all_points_x"":[158,253,246,295,352,363,392,413,418,407,438,451,449,468,487,496,483,500,485,481,482,473,486,480,468,473,472,458,454,457,438,372,356,342,328,289,282,215,200,185,167,143,139,153,154],""all_points_y"":[404,238,204,106,90,92,78,87,123,138,228,224,256,306,305,320,333,356,383,421,449,471,488,502,499,518,534,542,552,566,573,815,795,757,719,602,599,566,550,538,475,462,442,435,406]}","{""outside"":"""","""":""""}"
